no,month,area,year,price,loc
204,3,전용면적 85㎡초과 102㎡이하,2020,,대전
205,3,전용면적 102㎡초과,2020,,대전
206,3,전체,2020,3143,울산
207,3,전용면적 60㎡이하,2020,3399,울산
208,3,전용면적 60㎡초과 85㎡이하,2020,3114,울산
209,3,전용면적 85㎡초과 102㎡이하,2020,,울산
210,3,전용면적 102㎡초과,2020,,울산
211,3,전체,2020,3458,세종
212,3,전용면적 60㎡이하,2020,,세종
213,3,전용면적 60㎡초과 85㎡이하,2020,3395,세종
214,3,전용면적 85㎡초과 102㎡이하,2020,3510,세종
215,3,전용면적 102㎡초과,2020,3931,세종
216,3,전체,2020,2468,강원
217,3,전용면적 60㎡이하,2020,2517,강원
218,3,전용면적 60㎡초과 85㎡이하,2020,2438,강원
219,3,전용면적 85㎡초과 102㎡이하,2020,,강원
220,3,전용면적 102㎡초과,2020,3906,강원
221,3,전체,2020,2400,충북
222,3,전용면적 60㎡이하,2020,2420,충북
223,3,전용면적 60㎡초과 85㎡이하,2020,2390,충북
224,3,전용면적 85㎡초과 102㎡이하,2020,2634,충북
225,3,전용면적 102㎡초과,2020,2756,충북
226,3,전체,2020,2608,충남
227,3,전용면적 60㎡이하,2020,2390,충남
228,3,전용면적 60㎡초과 85㎡이하,2020,2631,충남
229,3,전용면적 85㎡초과 102㎡이하,2020,3201,충남
230,3,전용면적 102㎡초과,2020,2835,충남
231,3,전체,2020,2468,전북
232,3,전용면적 60㎡이하,2020,2526,전북
233,3,전용면적 60㎡초과 85㎡이하,2020,2458,전북
234,3,전용면적 85㎡초과 102㎡이하,2020,2764,전북
235,3,전용면적 102㎡초과,2020,2667,전북
236,3,전체,2020,2576,전남
237,3,전용면적 60㎡이하,2020,2689,전남
238,3,전용면적 60㎡초과 85㎡이하,2020,2569,전남
239,3,전용면적 85㎡초과 102㎡이하,2020,3005,전남
240,3,전용면적 102㎡초과,2020,3692,전남
241,3,전체,2020,2555,경북
242,3,전용면적 60㎡이하,2020,2578,경북
