bno,bname,bstart,bend,bregister
111,다산진건 상업용지 공급관련 지구단위계획 허용용도 안내,2017-02-21,2017-12-31,2017-02-21
112,다산신도시 공동주택 입주계획,2017-02-17,2017-12-31,2017-02-17
113,남양주 다산진건 상업/주차장용지 공급공고,2017-02-15,2017-12-31,2017-02-15
114,다산진건 종교시설용지 추첨결과,2017-02-07,2017-02-07,2017-02-07
115,다산진건 종교시설용지 1순위 접수마감 공지,2017-02-06,2017-02-28,2017-02-06
116,남양주 다산진건 종교시설용지 공급공고,2017-01-13,2017-12-31,2017-01-13
117,다산신도시 생활대책용지 2차 매입신청 결과,2016-12-29,2017-12-31,2016-12-29
118,다산신도시 생활대책용지 2회차 공급안내,2016-12-23,2017-12-31,2016-12-23
119,다산신도시 생활대책용지 매입신청(추첨)결과 게시,2016-12-16,2016-12-31,2016-12-16
120,남양주 다산진건 생활대책용지 공급공고(정정),2016-12-05,2017-12-31,2016-12-05
121,남양주 다산지금 생활대책용지 공급공고(정정),2016-12-05,2017-12-31,2016-12-05
122,"다산신도시 진건,지금지구 상업/업무시설용지 개찰결과 안내",2016-11-10,2016-12-31,2016-11-10
123,동탄(2) 일반상업 및 주차장 용지 공급공고,2016-11-09,2016-12-31,2016-11-09
124,"다산신도시 진건, 지금지구 상업/업무시설용지 팜플렛",2016-11-01,2016-12-31,2016-11-01
125,다산신도시 생활대책용지 팜플렛,2016-10-31,2016-12-31,2016-10-31
126,남양주 다산지금 공공주택지구 생활대책용지 공급공고,2016-10-28,2016-12-31,2016-10-28
127,"다산신도시 진건, 지금지구 상업/업무시설용지 공급공고",2016-10-27,2016-12-31,2016-10-27
128,남양주 다산진건 공공주택지구 생활대책용지 공급공고,2016-10-28,2016-12-31,2016-10-28
129,다산신도시 생활대책 조합구성관련 정보공개 안내,2016-10-14,2018-12-31,2016-10-14
130,남양주 다산진건 이주자택지 추첨결과,2016-10-13,2999-12-31,2016-10-13
131,남양주 다산지금 이주자택지 추첨결과,2016-10-13,2999-12-31,2016-10-13
132,남양주 다산지금 공공주택지구 이주자택지 공급공고(정정),2016-10-07,2099-12-31,2016-10-07
133,다산신도시 생활대책용지 공급관련 구비서류 안내,2016-10-07,2099-12-31,2016-10-07
